,img_path,M,F,0's,10's,20's,30's,40's,50's,60+
0,F0085_IND_M_50_45_01.JPG,0,1,0,0,0,0,0,1,0
1,F0877_IND_S2_8_0_02.JPG,1,0,1,0,0,0,0,0,0
2,F0850_IND_D2_9_-45_02.JPG,0,1,1,0,0,0,0,0,0
3,F0448_IND_D_34_45_04.JPG,0,1,0,0,0,1,0,0,0
4,F0179_IND_D_28_90_02.JPG,0,1,0,0,1,0,0,0,0
5,F0369_IND_S_17_0_01.JPG,1,0,0,1,0,0,0,0,0
6,F0419_IND_S_15_45_03.JPG,1,0,0,1,0,0,0,0,0
7,F0712_IND_F_42_90_02.JPG,1,0,0,0,0,0,1,0,0
8,F0857_IND_M_49_45_02.JPG,0,1,0,0,0,0,1,0,0
9,F0086_IND_S_17_-90_01.JPG,1,0,0,1,0,0,0,0,0
10,F0213_IND_S_17_-90_02.JPG,1,0,0,1,0,0,0,0,0
11,F0357_IND_D_16_-90_02.JPG,0,1,0,1,0,0,0,0,0
12,F0703_IND_D_35_90_02.JPG,0,1,0,0,0,1,0,0,0
13,F0215_IND_F_48_90_02.JPG,1,0,0,0,0,0,1,0,0
14,F0807_IND_D_9_90_01.JPG,0,1,1,0,0,0,0,0,0
15,F0495_IND_F_44_45_01.jpg,1,0,0,0,0,0,1,0,0
16,F0643_IND_M_46_0_02.JPG,0,1,0,0,0,0,1,0,0
17,F0156_IND_M_44_45_04.JPG,0,1,0,0,0,0,1,0,0
18,F0399_IND_D_18_0_01.JPG,0,1,0,1,0,0,0,0,0
19,F0782_IND_D_22_-45_01.jpg,0,1,0,0,1,0,0,0,0
20,F0304_IND_S2_16_-90_01.JPG,1,0,0,1,0,0,0,0,0
21,F0418_IND_M_42_0_03.JPG,0,1,0,0,0,0,1,0,0
22,F0380_IND_S2_14_-90_01.JPG,1,0,0,1,0,0,0,0,0
23,F0089_IND_S_11_0_05.JPG,1,0,0,1,0,0,0,0,0
24,F0302_IND_GM_72_-45_02.JPG,0,1,0,0,0,0,0,0,1
25,F0459_IND_S_22_90_04.JPG,1,0,0,0,1,0,0,0,0
26,F0282_IND_S_12_45_03.JPG,1,0,0,1,0,0,0,0,0
27,F0100_IND_GM_75_90_01.JPG,0,1,0,0,0,0,0,0,1
28,F0674_IND_S_11_-90_02.JPG,1,0,0,1,0,0,0,0,0
29,F0538_IND_S_14_90_01.jpg,1,0,0,1,0,0,0,0,0
30,F0561_IND_S_15_-45_01.jpg,1,0,0,1,0,0,0,0,0
31,F0765_IND_S_15_-90_01.JPG,1,0,0,1,0,0,0,0,0
32,F0510_IND_S_11_90_02.jpg,1,0,0,1,0,0,0,0,0
33,F0417_IND_F_46_90_03.JPG,1,0,0,0,0,0,1,0,0
34,F0013_IND_D_15_90_03.JPG,0,1,0,1,0,0,0,0,0
35,F0079_IND_M_44_-45_01.JPG,0,1,0,0,0,0,1,0,0
36,F0176_IND_S2_18_90_01.JPG,1,0,0,1,0,0,0,0,0
37,F0506_IND_D_11_-90_02.jpg,0,1,0,1,0,0,0,0,0
38,F0252_IND_S_15_45_03.JPG,1,0,0,1,0,0,0,0,0
39,F0707_IND_S2_9_0_01.JPG,1,0,1,0,0,0,0,0,0
40,F0059_IND_GM_71_0_02.JPG,0,1,0,0,0,0,0,0,1
41,F0406_IND_D2_29_45_01.JPG,0,1,0,0,1,0,0,0,0
42,F0866_IND_M_47_-45_02.JPG,0,1,0,0,0,0,1,0,0
43,F0010_IND_GM_71_-45_02.JPG,0,1,0,0,0,0,0,0,1
44,F0202_IND_S_15_90_04.JPG,1,0,0,1,0,0,0,0,0
45,F0037_IND_D_11_0_01.JPG,0,1,0,1,0,0,0,0,0
46,F0340_IND_F_54_90_04.JPG,1,0,0,0,0,0,0,1,0
47,F0361_IND_GF_85_-45_04.JPG,1,0,0,0,0,0,0,0,1
